sample_id	batch_id	green_idat	red_idat
8030751540_KG0000022_LVB.39127479	GSAv1	202136030091_R01C01_Grn.idat.gz	202136030091_R01C01_Red.idat.gz
8030751589_KG0000003_LVB00154.164975	GSAv1	202136030091_R01C02_Grn.idat.gz	202136030091_R01C02_Red.idat.gz
8030751612_KG0000023_LVB.39127499	GSAv1	202136030091_R02C01_Grn.idat.gz	202136030091_R02C01_Red.idat.gz
8030751566_KG0000007_LVB.00920-39127489	GSAv1	202136030091_R02C02_Grn.idat.gz	202136030091_R02C02_Red.idat.gz
8030751552_KG0000020_LVB.74923977	GSAv1	202136030091_R03C01_Grn.idat.gz	202136030091_R03C01_Red.idat.gz
8030751601_KG0000005_LVB.LVB00720	GSAv1	202136030091_R03C02_Grn.idat.gz	202136030091_R03C02_Red.idat.gz
8030751624_KG0000017_LVB.74923975	GSAv1	202136030091_R04C01_Grn.idat.gz	202136030091_R04C01_Red.idat.gz
8030751578_KG0000001_LVB00894.74923959	GSAv1	202136030091_R04C02_Grn.idat.gz	202136030091_R04C02_Red.idat.gz
8030751564_KG0000014_LVB.74923974	GSAv1	202136030091_R05C01_Grn.idat.gz	202136030091_R05C01_Red.idat.gz
8030751613_KG0000004_LVB.LVB00163	GSAv1	202136030091_R05C02_Grn.idat.gz	202136030091_R05C02_Red.idat.gz
8030751541_KG0000019_LVB.74923966	GSAv1	202136030091_R06C01_Grn.idat.gz	202136030091_R06C01_Red.idat.gz
8030751590_KG0000011_LVB.74923965	GSAv1	202136030091_R06C02_Grn.idat.gz	202136030091_R06C02_Red.idat.gz
8030751576_KG0000013_LVB.74923973	GSAv1	202136030091_R07C01_Grn.idat.gz	202136030091_R07C01_Red.idat.gz
8030751625_KG0000008_LVB.74923962	GSAv1	202136030091_R07C02_Grn.idat.gz	202136030091_R07C02_Red.idat.gz
8030751553_KG0000025_LVB.39127498	GSAv1	202136030091_R08C01_Grn.idat.gz	202136030091_R08C01_Red.idat.gz
8030751602_KG0000006_LVB.00816-74923972	GSAv1	202136030091_R08C02_Grn.idat.gz	202136030091_R08C02_Red.idat.gz
8030751588_KG0000015_LVB.74923970	GSAv1	202136030091_R09C01_Grn.idat.gz	202136030091_R09C01_Red.idat.gz
8030751542_KG0000009_LVB.74923976	GSAv1	202136030091_R09C02_Grn.idat.gz	202136030091_R09C02_Red.idat.gz
8030751565_KG0000024_LVB.39127476	GSAv1	202136030091_R10C01_Grn.idat.gz	202136030091_R10C01_Red.idat.gz
8030751614_KG0000031_LVB.74923984	GSAv1	202136030091_R10C02_Grn.idat.gz	202136030091_R10C02_Red.idat.gz
8030751600_KG0000012_LVB.74923969	GSAv1	202136030091_R11C01_Grn.idat.gz	202136030091_R11C01_Red.idat.gz
8030751554_KG0000002_LVB00185.74923960	GSAv1	202136030091_R11C02_Grn.idat.gz	202136030091_R11C02_Red.idat.gz
8030751577_KG0000010_LVB.74923964	GSAv1	202136030091_R12C01_Grn.idat.gz	202136030091_R12C01_Red.idat.gz
Positive_Control	GSAv1	202136030091_R12C02_Grn.idat.gz	202136030091_R12C02_Red.idat.gz
NA12878-A	GSAv2	203408430041_R01C01_Grn.idat.gz	203408430041_R01C01_Red.idat.gz
8033684152	GSAv2	203408430041_R01C02_Grn.idat.gz	203408430041_R01C02_Red.idat.gz
8037703197-A	GSAv2	203408430041_R02C01_Grn.idat.gz	203408430041_R02C01_Red.idat.gz
8033684164	GSAv2	203408430041_R02C02_Grn.idat.gz	203408430041_R02C02_Red.idat.gz
8037702308-A	GSAv2	203408430041_R03C01_Grn.idat.gz	203408430041_R03C01_Red.idat.gz
8033684081	GSAv2	203408430041_R03C02_Grn.idat.gz	203408430041_R03C02_Red.idat.gz
8037737797-A	GSAv2	203408430041_R04C01_Grn.idat.gz	203408430041_R04C01_Red.idat.gz
8033684093	GSAv2	203408430041_R04C02_Grn.idat.gz	203408430041_R04C02_Red.idat.gz
8033684151	GSAv2	203408430041_R05C01_Grn.idat.gz	203408430041_R05C01_Red.idat.gz
8033684105-A	GSAv2	203408430041_R05C02_Grn.idat.gz	203408430041_R05C02_Red.idat.gz
8033684163	GSAv2	203408430041_R06C01_Grn.idat.gz	203408430041_R06C01_Red.idat.gz
8033684117	GSAv2	203408430041_R06C02_Grn.idat.gz	203408430041_R06C02_Red.idat.gz
8033684080-A	GSAv2	203408430041_R07C01_Grn.idat.gz	203408430041_R07C01_Red.idat.gz
8033684129	GSAv2	203408430041_R07C02_Grn.idat.gz	203408430041_R07C02_Red.idat.gz
8033684092	GSAv2	203408430041_R08C01_Grn.idat.gz	203408430041_R08C01_Red.idat.gz
8033684141	GSAv2	203408430041_R08C02_Grn.idat.gz	203408430041_R08C02_Red.idat.gz
8033684104	GSAv2	203408430041_R09C01_Grn.idat.gz	203408430041_R09C01_Red.idat.gz
8033684153	GSAv2	203408430041_R09C02_Grn.idat.gz	203408430041_R09C02_Red.idat.gz
8033684116-A	GSAv2	203408430041_R10C01_Grn.idat.gz	203408430041_R10C01_Red.idat.gz
8033684165	GSAv2	203408430041_R10C02_Grn.idat.gz	203408430041_R10C02_Red.idat.gz
8033684128	GSAv2	203408430041_R11C01_Grn.idat.gz	203408430041_R11C01_Red.idat.gz
8033684082	GSAv2	203408430041_R11C02_Grn.idat.gz	203408430041_R11C02_Red.idat.gz
8033684140-A	GSAv2	203408430041_R12C01_Grn.idat.gz	203408430041_R12C01_Red.idat.gz
8033684094	GSAv2	203408430041_R12C02_Grn.idat.gz	203408430041_R12C02_Red.idat.gz
NA12878-B	GSAv2	203408430049_R01C01_Grn.idat.gz	203408430049_R01C01_Red.idat.gz
8033684112-A	GSAv2	203408430049_R01C02_Grn.idat.gz	203408430049_R01C02_Red.idat.gz
8037703197-B	GSAv2	203408430049_R02C01_Grn.idat.gz	203408430049_R02C01_Red.idat.gz
8033684124	GSAv2	203408430049_R02C02_Grn.idat.gz	203408430049_R02C02_Red.idat.gz
8037702934-A	GSAv2	203408430049_R03C01_Grn.idat.gz	203408430049_R03C01_Red.idat.gz
8033684136	GSAv2	203408430049_R03C02_Grn.idat.gz	203408430049_R03C02_Red.idat.gz
8037713961-A	GSAv2	203408430049_R04C01_Grn.idat.gz	203408430049_R04C01_Red.idat.gz
8033684148	GSAv2	203408430049_R04C02_Grn.idat.gz	203408430049_R04C02_Red.idat.gz
8037701927-A	GSAv2	203408430049_R05C01_Grn.idat.gz	203408430049_R05C01_Red.idat.gz
8033684160	GSAv2	203408430049_R05C02_Grn.idat.gz	203408430049_R05C02_Red.idat.gz
8037702308-B	GSAv2	203408430049_R06C01_Grn.idat.gz	203408430049_R06C01_Red.idat.gz
8033684077-A	GSAv2	203408430049_R06C02_Grn.idat.gz	203408430049_R06C02_Red.idat.gz
8037737797-B	GSAv2	203408430049_R07C01_Grn.idat.gz	203408430049_R07C01_Red.idat.gz
8033684089	GSAv2	203408430049_R07C02_Grn.idat.gz	203408430049_R07C02_Red.idat.gz
8033673352-A	GSAv2	203408430049_R08C01_Grn.idat.gz	203408430049_R08C01_Red.idat.gz
8033684101	GSAv2	203408430049_R08C02_Grn.idat.gz	203408430049_R08C02_Red.idat.gz
8035158042-A	GSAv2	203408430049_R09C01_Grn.idat.gz	203408430049_R09C01_Red.idat.gz
8033684113-A	GSAv2	203408430049_R09C02_Grn.idat.gz	203408430049_R09C02_Red.idat.gz
8033684076-A	GSAv2	203408430049_R10C01_Grn.idat.gz	203408430049_R10C01_Red.idat.gz
8033684125	GSAv2	203408430049_R10C02_Grn.idat.gz	203408430049_R10C02_Red.idat.gz
8033684088	GSAv2	203408430049_R11C01_Grn.idat.gz	203408430049_R11C01_Red.idat.gz
8033684137	GSAv2	203408430049_R11C02_Grn.idat.gz	203408430049_R11C02_Red.idat.gz
8033684100	GSAv2	203408430049_R12C01_Grn.idat.gz	203408430049_R12C01_Red.idat.gz
8033684149	GSAv2	203408430049_R12C02_Grn.idat.gz	203408430049_R12C02_Red.idat.gz
NA12878-C	GSAv2	203408430052_R01C01_Grn.idat.gz	203408430052_R01C01_Red.idat.gz
8033684102-A	GSAv2	203408430052_R01C02_Grn.idat.gz	203408430052_R01C02_Red.idat.gz
8037703197-C	GSAv2	203408430052_R02C01_Grn.idat.gz	203408430052_R02C01_Red.idat.gz
8033684114	GSAv2	203408430052_R02C02_Grn.idat.gz	203408430052_R02C02_Red.idat.gz
8037702934-B	GSAv2	203408430052_R03C01_Grn.idat.gz	203408430052_R03C01_Red.idat.gz
8033684126	GSAv2	203408430052_R03C02_Grn.idat.gz	203408430052_R03C02_Red.idat.gz
8037713961-B	GSAv2	203408430052_R04C01_Grn.idat.gz	203408430052_R04C01_Red.idat.gz
8033684138	GSAv2	203408430052_R04C02_Grn.idat.gz	203408430052_R04C02_Red.idat.gz
8037701927-B	GSAv2	203408430052_R05C01_Grn.idat.gz	203408430052_R05C01_Red.idat.gz
8033684150-A	GSAv2	203408430052_R05C02_Grn.idat.gz	203408430052_R05C02_Red.idat.gz
8037702308-C	GSAv2	203408430052_R06C01_Grn.idat.gz	203408430052_R06C01_Red.idat.gz
8033684162	GSAv2	203408430052_R06C02_Grn.idat.gz	203408430052_R06C02_Red.idat.gz
8037737797-C	GSAv2	203408430052_R07C01_Grn.idat.gz	203408430052_R07C01_Red.idat.gz
8033684079-A	GSAv2	203408430052_R07C02_Grn.idat.gz	203408430052_R07C02_Red.idat.gz
8033673352-B	GSAv2	203408430052_R08C01_Grn.idat.gz	203408430052_R08C01_Red.idat.gz
8033684091	GSAv2	203408430052_R08C02_Grn.idat.gz	203408430052_R08C02_Red.idat.gz
8035158042-B	GSAv2	203408430052_R09C01_Grn.idat.gz	203408430052_R09C01_Red.idat.gz
8033684103	GSAv2	203408430052_R09C02_Grn.idat.gz	203408430052_R09C02_Red.idat.gz
8033684161	GSAv2	203408430052_R10C01_Grn.idat.gz	203408430052_R10C01_Red.idat.gz
8033684115	GSAv2	203408430052_R10C02_Grn.idat.gz	203408430052_R10C02_Red.idat.gz
8033684078	GSAv2	203408430052_R11C01_Grn.idat.gz	203408430052_R11C01_Red.idat.gz
8033684127	GSAv2	203408430052_R11C02_Grn.idat.gz	203408430052_R11C02_Red.idat.gz
8033684090	GSAv2	203408430052_R12C01_Grn.idat.gz	203408430052_R12C01_Red.idat.gz
8033684139	GSAv2	203408430052_R12C02_Grn.idat.gz	203408430052_R12C02_Red.idat.gz
NA12878-D	GSAv2	203408430054_R01C01_Grn.idat.gz	203408430054_R01C01_Red.idat.gz
8033684107	GSAv2	203408430054_R01C02_Grn.idat.gz	203408430054_R01C02_Red.idat.gz
8037702934-C	GSAv2	203408430054_R02C01_Grn.idat.gz	203408430054_R02C01_Red.idat.gz
8033684119	GSAv2	203408430054_R02C02_Grn.idat.gz	203408430054_R02C02_Red.idat.gz
8035158042-C	GSAv2	203408430054_R03C01_Grn.idat.gz	203408430054_R03C01_Red.idat.gz
8033684131-A	GSAv2	203408430054_R03C02_Grn.idat.gz	203408430054_R03C02_Red.idat.gz
8037702308-D	GSAv2	203408430054_R04C01_Grn.idat.gz	203408430054_R04C01_Red.idat.gz
8033684143	GSAv2	203408430054_R04C02_Grn.idat.gz	203408430054_R04C02_Red.idat.gz
8033684106	GSAv2	203408430054_R05C01_Grn.idat.gz	203408430054_R05C01_Red.idat.gz
8033684155-A	GSAv2	203408430054_R05C02_Grn.idat.gz	203408430054_R05C02_Red.idat.gz
8033684118	GSAv2	203408430054_R06C01_Grn.idat.gz	203408430054_R06C01_Red.idat.gz
8033684167	GSAv2	203408430054_R06C02_Grn.idat.gz	203408430054_R06C02_Red.idat.gz
8033684130	GSAv2	203408430054_R07C01_Grn.idat.gz	203408430054_R07C01_Red.idat.gz
8033684084	GSAv2	203408430054_R07C02_Grn.idat.gz	203408430054_R07C02_Red.idat.gz
8033684142-A	GSAv2	203408430054_R08C01_Grn.idat.gz	203408430054_R08C01_Red.idat.gz
8033684096	GSAv2	203408430054_R08C02_Grn.idat.gz	203408430054_R08C02_Red.idat.gz
8033684154	GSAv2	203408430054_R09C01_Grn.idat.gz	203408430054_R09C01_Red.idat.gz
8033684108	GSAv2	203408430054_R09C02_Grn.idat.gz	203408430054_R09C02_Red.idat.gz
8033684166	GSAv2	203408430054_R10C01_Grn.idat.gz	203408430054_R10C01_Red.idat.gz
8033684120	GSAv2	203408430054_R10C02_Grn.idat.gz	203408430054_R10C02_Red.idat.gz
8033684083	GSAv2	203408430054_R11C01_Grn.idat.gz	203408430054_R11C01_Red.idat.gz
8033684132	GSAv2	203408430054_R11C02_Grn.idat.gz	203408430054_R11C02_Red.idat.gz
8033684095-A	GSAv2	203408430054_R12C01_Grn.idat.gz	203408430054_R12C01_Red.idat.gz
8033684144	GSAv2	203408430054_R12C02_Grn.idat.gz	203408430054_R12C02_Red.idat.gz
NA12878-E	GSAv2	203533880001_R01C01_Grn.idat.gz	203533880001_R01C01_Red.idat.gz
