sample_id	batch_id	green_idat	red_idat
KG0000101	MEGAv2	202329440117_R01C01_Grn.idat.gz	202329440117_R01C01_Red.idat.gz
KG0000109	MEGAv2	202329440117_R02C01_Grn.idat.gz	202329440117_R02C01_Red.idat.gz
KG0000140	MEGAv2	202329440117_R03C01_Grn.idat.gz	202329440117_R03C01_Red.idat.gz
KG0000186	MEGAv2	202329440117_R04C01_Grn.idat.gz	202329440117_R04C01_Red.idat.gz
KG0000165	MEGAv2	202329440117_R05C01_Grn.idat.gz	202329440117_R05C01_Red.idat.gz
KG0000120	MEGAv2	202329440117_R06C01_Grn.idat.gz	202329440117_R06C01_Red.idat.gz
MH0145622	MEGAv2	202329440117_R07C01_Grn.idat.gz	202329440117_R07C01_Red.idat.gz
09C79822	MEGAv2	202329440117_R08C01_Grn.idat.gz	202329440117_R08C01_Red.idat.gz
KG0000097	MEGAv2	202340640055_R01C01_Grn.idat.gz	202340640055_R01C01_Red.idat.gz
KG0000127	MEGAv2	202340640055_R02C01_Grn.idat.gz	202340640055_R02C01_Red.idat.gz
KG0000138	MEGAv2	202340640055_R03C01_Grn.idat.gz	202340640055_R03C01_Red.idat.gz
KG0000185	MEGAv2	202340640055_R04C01_Grn.idat.gz	202340640055_R04C01_Red.idat.gz
KG0000159	MEGAv2	202340640055_R05C01_Grn.idat.gz	202340640055_R05C01_Red.idat.gz
KG0000125	MEGAv2	202340640055_R06C01_Grn.idat.gz	202340640055_R06C01_Red.idat.gz
MH0201393	MEGAv2	202340640055_R07C01_Grn.idat.gz	202340640055_R07C01_Red.idat.gz
Control	MEGAv2	202340640055_R08C01_Grn.idat.gz	202340640055_R08C01_Red.idat.gz
KG0000116	MEGAv2	202340640198_R01C01_Grn.idat.gz	202340640198_R01C01_Red.idat.gz
KG0000132	MEGAv2	202340640198_R02C01_Grn.idat.gz	202340640198_R02C01_Red.idat.gz
KG0000157	MEGAv2	202340640198_R03C01_Grn.idat.gz	202340640198_R03C01_Red.idat.gz
KG0000162	MEGAv2	202340640198_R04C01_Grn.idat.gz	202340640198_R04C01_Red.idat.gz
KG0000199	MEGAv2	202340640198_R05C01_Grn.idat.gz	202340640198_R05C01_Red.idat.gz
MH0197311	MEGAv2	202340640198_R06C01_Grn.idat.gz	202340640198_R06C01_Red.idat.gz
09C98633	MEGAv2	202340640198_R07C01_Grn.idat.gz	202340640198_R07C01_Red.idat.gz
HG01334	MEGAv2	202340640198_R08C01_Grn.idat.gz	202340640198_R08C01_Red.idat.gz
